EUlE7SY-51s,2026-09-04T03:39:15.859392+00:00,53316,395,53
EUlE7SY-51s,2026-09-04T04:00:01.808900+00:00,53458,397,53
EUlE7SY-51s,2026-09-04T05:00:01.595875+00:00,54490,400,53
EUlE7SY-51s,2026-09-04T06:00:02.082979+00:00,55133,403,53
EUlE7SY-51s,2026-09-04T06:45:36.464993+00:00,55328,405,53
EUlE7SY-51s,2026-09-04T07:03:11.396063+00:00,55376,405,53
EUlE7SY-51s,2026-09-04T08:04:36.941617+00:00,56199,406,53
EUlE7SY-51s,2026-09-04T09:03:02.678567+00:00,56534,408,53
EUlE7SY-51s,2026-09-04T10:03:32.531238+00:00,56949,408,53
EUlE7SY-51s,2026-09-04T11:02:42.112641+00:00,57230,409,53
EUlE7SY-51s,2026-09-04T12:03:05.596485+00:00,57589,411,53
EUlE7SY-51s,2026-09-04T13:03:03.126042+00:00,57927,415,53
EUlE7SY-51s,2026-09-04T14:02:34.803755+00:00,58377,418,55
EUlE7SY-51s,2026-09-04T15:02:36.744960+00:00,58911,424,55
EUlE7SY-51s,2026-09-04T16:03:30.349238+00:00,59346,424,55
EUlE7SY-51s,2026-09-04T17:03:15.592955+00:00,59227,426,55
EUlE7SY-51s,2026-09-04T18:02:39.323303+00:00,59587,427,55
EUlE7SY-51s,2026-09-04T19:03:20.306751+00:00,60076,428,55
EUlE7SY-51s,2026-09-04T20:03:58.233132+00:00,60476,428,55
EUlE7SY-51s,2026-09-04T21:02:55.555272+00:00,60864,430,55
EUlE7SY-51s,2026-09-04T22:03:44.506251+00:00,61226,431,55
EUlE7SY-51s,2026-09-04T23:02:36.441376+00:00,61881,434,55
