timestamp,views,likes,comments
2026-09-14T15:01:19.539177+00:00,0,0,0
2026-09-14T16:01:19.387544+00:00,387,10,0
2026-09-14T17:01:34.813144+00:00,521,13,0
2026-09-14T18:00:35.406161+00:00,4052,15,0
2026-09-14T19:01:12.426453+00:00,4694,15,0
2026-09-14T20:01:22.380353+00:00,6286,15,0
2026-09-14T21:00:56.713061+00:00,7902,15,0
2026-09-14T22:01:18.639425+00:00,8118,17,0
2026-09-14T23:01:29.539383+00:00,8242,17,0
2026-09-15T00:01:02.679686+00:00,8311,17,0
2026-09-15T01:00:46.747563+00:00,8311,17,0
2026-09-15T02:00:48.753283+00:00,8311,17,0
2026-09-15T03:00:56.878367+00:00,8311,17,0
2026-09-15T04:00:43.326487+00:00,8311,17,0
2026-09-15T05:01:24.210134+00:00,8359,17,0
2026-09-15T06:00:49.817632+00:00,8359,17,0
2026-09-15T07:01:06.087523+00:00,8359,17,0
2026-09-15T08:00:32.380395+00:00,8464,17,0
2026-09-15T09:01:03.919029+00:00,8491,17,0
2026-09-15T10:01:09.799426+00:00,8496,17,0
2026-09-15T11:00:42.338531+00:00,8496,17,0
2026-09-15T12:01:00.339952+00:00,8496,17,0
2026-09-15T13:00:48.329463+00:00,8553,17,0
2026-09-15T14:00:57.765767+00:00,8586,17,0
2026-09-15T15:00:34.503205+00:00,8590,17,0
2026-09-15T16:01:48.022147+00:00,8590,17,0
2026-09-15T17:01:04.677483+00:00,8590,17,0
2026-09-15T18:00:55.304308+00:00,8617,17,0
2026-09-15T19:01:28.638501+00:00,8543,17,0
2026-09-15T20:00:41.822065+00:00,8543,17,0
2026-09-15T21:01:10.356202+00:00,8543,17,0
2026-09-15T22:01:34.176662+00:00,8571,17,0
2026-09-15T23:01:25.698350+00:00,8571,17,0
2026-09-16T00:00:36.946623+00:00,8570,17,0
2026-09-16T01:01:04.485440+00:00,8632,17,0
2026-09-16T02:01:03.247323+00:00,8657,17,0
2026-09-16T03:00:43.604290+00:00,8661,17,0
2026-09-16T04:01:02.286233+00:00,8661,17,0
2026-09-16T05:00:39.468360+00:00,8745,18,0
2026-09-16T06:01:11.803905+00:00,8762,18,0
2026-09-16T07:01:10.088378+00:00,8762,18,0
2026-09-16T08:00:47.330905+00:00,8802,19,0
2026-09-16T09:01:01.065577+00:00,8802,19,0
2026-09-16T10:01:07.425054+00:00,8802,19,0
2026-09-16T11:00:41.648486+00:00,8917,19,0
2026-09-16T12:00:40.843743+00:00,8939,19,0
2026-09-16T13:01:23.240723+00:00,8968,19,1
2026-09-16T14:00:37.618641+00:00,8997,20,1
2026-09-16T15:01:16.898309+00:00,9031,21,1
2026-09-16T16:02:04.411327+00:00,9031,21,1
2026-09-16T17:00:44.969849+00:00,9119,21,1
2026-09-16T18:01:05.001947+00:00,9151,21,1
2026-09-16T19:01:12.191474+00:00,9158,21,1
2026-09-16T20:00:54.124481+00:00,9158,21,1
2026-09-16T21:01:31.929463+00:00,9158,21,1
2026-09-16T22:01:09.037542+00:00,9188,21,1
2026-09-16T23:01:06.018496+00:00,9188,21,1
2026-09-17T00:00:45.732596+00:00,9188,21,1
2026-09-17T01:00:55.869287+00:00,9212,21,1
2026-09-17T02:01:07.178150+00:00,9212,21,1
2026-09-17T03:00:42.561059+00:00,9212,21,1
2026-09-17T04:01:09.251296+00:00,9212,21,1
2026-09-17T05:00:43.671165+00:00,9221,21,1
2026-09-17T06:01:45.825667+00:00,9221,21,1
2026-09-17T07:00:47.264325+00:00,9221,21,1
2026-09-17T08:00:41.765569+00:00,9222,21,1
2026-09-17T09:01:17.783073+00:00,9222,21,1
2026-09-17T10:00:37.658133+00:00,9222,21,1
2026-09-17T11:01:21.241239+00:00,9222,21,1
2026-09-17T12:01:22.870703+00:00,9222,21,1
2026-09-17T13:01:26.289752+00:00,9222,21,1
2026-09-17T14:01:25.261761+00:00,9222,21,1
2026-09-17T15:01:14.851521+00:00,9222,21,1
