timestamp,views,likes,comments
2026-09-20T14:00:48.979642+00:00,67,5,0
2026-09-20T15:01:24.145962+00:00,317,16,3
2026-09-20T16:01:04.436360+00:00,429,15,7
2026-09-20T17:01:07.467908+00:00,1875,17,8
2026-09-20T18:01:06.912614+00:00,2510,21,11
2026-09-20T19:01:10.634128+00:00,3797,25,11
2026-09-20T20:00:56.722746+00:00,5353,25,13
2026-09-20T21:01:15.339473+00:00,6679,27,14
2026-09-20T22:01:14.434759+00:00,7761,27,14
2026-09-20T23:01:15.084687+00:00,8262,27,14
2026-09-21T00:01:20.431524+00:00,8605,27,16
2026-09-21T01:00:49.567215+00:00,8880,28,18
2026-09-21T02:01:18.909420+00:00,9070,28,18
2026-09-21T03:01:19.758208+00:00,9264,28,18
2026-09-21T04:01:33.152223+00:00,9363,28,20
2026-09-21T05:01:08.525925+00:00,9585,30,20
